City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Ushuaia,AR,49.62,scattered clouds,-54.8,-68.3,Albatros Hotel
15,Bluff,NZ,59.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
21,San Quintin,MX,52.45,clear sky,30.4833,-115.95,Don Eddie's Landing
27,Jamestown,US,55.51,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
31,Punta Arenas,CL,50.11,few clouds,-53.15,-70.9167,Hotel Hain
33,Namibe,AO,67.51,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
35,Hasaki,JP,61.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
37,Ponta Do Sol,PT,63.23,broken clouds,32.6667,-17.1,Hotel do Campo
42,Lucapa,AO,65.55,moderate rain,-8.4192,20.7447,Residência Ulisses Dos Santos
46,Camargo,MX,64.63,broken clouds,27.6667,-105.1667,Hotel Santa Fe
49,Cape Town,ZA,60.12,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
50,Port Alfred,ZA,64.24,light rain,-33.5906,26.891,The Halyards Hotel
63,Abeche,TD,67.64,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
64,Port Elizabeth,ZA,61.11,few clouds,-33.918,25.5701,39 On Nile Guest House
66,Northam,GB,51.1,few clouds,51.0333,-4.2167,Durrant House Hotel
67,Dunedin,NZ,54.81,moderate rain,-45.8742,170.5036,Scenic Hotel Southern Cross
72,Ipameri,BR,68.25,light rain,-17.7219,-48.1597,Real Hotel
78,Guerrero Negro,MX,60.13,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
79,Christchurch,NZ,60.33,broken clouds,-43.5333,172.6333,The George
80,Codrington,AU,65.95,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
85,Kaitangata,NZ,57.92,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
86,Iranshahr,IR,50.34,clear sky,27.2025,60.6848,نیک سرشت
97,Shorewood,US,64.92,overcast clouds,41.52,-88.2017,Wingate by Wyndham Joliet
100,Chuy,UY,63.36,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
106,Filadelfia,US,53.85,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
107,Puerto Ayora,EC,68.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
108,Pasni,PK,63.54,scattered clouds,25.2631,63.471,Kashmiri Hotal
112,Mataura,NZ,59.49,broken clouds,-46.1927,168.8643,Ellie's Villa
119,Gidole,ET,60.67,broken clouds,5.65,37.3667,Shallom mekaneyesus church
120,Necochea,AR,57.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
122,Hokitika,NZ,63.27,moderate rain,-42.7167,170.9667,Beachfront Hotel Hokitika
123,Katsuura,JP,53.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
124,Ruwi,OM,65.89,overcast clouds,23.5996,58.5507,Al Falaj Hotel
127,Bethel,US,54.64,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
130,Mingshui,CN,48.58,overcast clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
133,Goma,CD,64.69,light rain,-1.6792,29.2228,Hotel la Versailles Goma
136,Mangan,IN,68.41,clear sky,27.5167,88.5333,Hotel Mout View
137,Ribeira Grande,PT,63.77,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
138,Komagane,JP,55.35,overcast clouds,35.7296,137.9396,駒ヶ根ユースホステル
139,Hamilton,US,59.23,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
141,Brae,GB,48.11,scattered clouds,60.3964,-1.353,Busta House Hotel
143,Sabha,LY,47.37,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
145,Saldanha,ZA,59.49,clear sky,-33.0117,17.9442,Blue Bay Lodge
146,Nantucket,US,50.97,overcast clouds,41.2835,-70.0995,Jared Coffin House
147,Lebu,CL,53.13,broken clouds,-37.6167,-73.65,Hostal Las Lilas
150,Fortuna,US,46.74,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
157,Hermanus,ZA,57.9,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
166,Paita,PE,68.74,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
168,Zhuji,CN,55.31,overcast clouds,29.7188,120.2423,YaoJiang New Century Grand Hotel Zhuji
170,Castro,BR,66.13,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
172,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
179,Colares,PT,52.32,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
184,Comodoro Rivadavia,AR,58.86,clear sky,-45.8667,-67.5,Austral Hotel
189,Huejuquilla El Alto,MX,56.08,clear sky,22.6,-103.8667,Hotel Huexuquillan
194,Iquique,CL,66.24,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
195,Margate,GB,52.03,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
200,Harer,ET,64.08,scattered clouds,9.3094,42.1258,Amir Cultural Harari Guesthouse
204,Potiskum,NG,59.29,few clouds,11.7091,11.0694,Yobe NYSC Orietation Camp Dazigau
212,Agadir,MA,50.45,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
218,Lagoa,PT,62.76,overcast clouds,39.05,-27.9833,Casa Das Faias
219,Constitucion,CL,52.47,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
220,Russell,US,56.97,overcast clouds,32.3502,-85.1999,Macs
221,Westport,US,55.9,overcast clouds,41.1415,-73.3579,Norwalk Inn
223,Songea,TZ,68.16,broken clouds,-10.6833,35.65,mtakuja
226,Eureka,US,47.01,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
232,Bucyrus,US,58.59,broken clouds,40.8084,-82.9755,"Holiday Inn Express & Suites Bucyrus, an IHG Hotel"
234,Siderno,IT,54.19,overcast clouds,38.2779,16.302,Grand Hotel President
237,Ukiah,US,50.83,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
240,Lynn Haven,US,64.0,clear sky,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
247,Blyth,GB,51.98,haze,55.1271,-1.5086,Carlton house
248,East London,ZA,63.54,clear sky,-33.0153,27.9116,Tu Casa
249,Mar Del Plata,AR,64.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
250,Antofagasta,CL,61.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
256,Bredasdorp,ZA,54.28,light rain,-34.5322,20.0403,Bredasdorp Country Manor
258,Skibbereen,IE,49.8,overcast clouds,51.55,-9.2667,The West Cork Hotel
260,Zhaoqing,CN,68.59,overcast clouds,23.0512,112.4597,七星岩旅游度假区
265,Elizabeth City,US,55.02,fog,36.2946,-76.2511,Hampton Inn Elizabeth City
266,Nouakchott,MR,62.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN
271,Rawson,AR,63.84,few clouds,-43.3002,-65.1023,Hosteria Sampedro
277,Huaral,PE,64.33,broken clouds,-11.495,-77.2078,Hostal El Tiempo
282,Vestmannaeyjar,IS,46.0,overcast clouds,63.4427,-20.2734,Glamping & Camping
283,Malanville,BJ,66.25,overcast clouds,11.8685,3.3899,Hotel Sejour du Sahel
288,Sechura,PE,69.49,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
290,Santiago De Cao,PE,66.33,fog,-7.9589,-79.2392,Villa Konecta - Casa de vacaciones
297,Lompoc,US,50.41,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
298,Kruisfontein,ZA,58.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
302,Roald,NO,47.34,broken clouds,62.5833,6.1333,Flem Cabins
304,Koronowo,PL,46.53,overcast clouds,53.3137,17.937,Ośrodek Wypoczynkowy Nad Zatoką
315,Taltal,CL,63.3,clear sky,-25.4,-70.4833,Residencial Karime
317,Juegang,CN,53.91,overcast clouds,32.3174,121.1855,Rudong Y Hotel
320,Tuatapere,NZ,58.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
322,Copiapo,CL,53.29,clear sky,-27.3667,-70.3333,San Francisco de La Selva
323,Ponta Delgada,PT,61.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
327,Ancud,CL,50.43,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
330,Ahipara,NZ,68.16,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
336,Morro Agudo,BR,69.82,overcast clouds,-20.7314,-48.0578,Hotel Morro Agudo
337,Bilma,NE,55.31,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
338,Machali,CL,59.02,clear sky,-34.1833,-70.6667,Mining House
352,Gwadar,PK,64.26,broken clouds,25.1216,62.3254,Sadaf Resort
355,Shingu,JP,61.79,overcast clouds,33.7333,135.9833,Shingu UI Hotel
356,Atar,MR,64.9,clear sky,20.5169,-13.0499,Oumou Elghoura
359,Ewing,US,55.65,overcast clouds,40.2698,-74.7999,Element Ewing Princeton
362,Valparaiso,CL,58.12,clear sky,-33.0393,-71.6273,Hotel Ultramar
369,Klaksvik,FO,45.52,broken clouds,62.2266,-6.589,Airbnb rooms
371,Najran,SA,47.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
375,Jalu,LY,51.37,scattered clouds,29.0331,21.5482,صاحبة الفخامة
378,Safford,US,47.12,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
388,Coquimbo,CL,60.53,overcast clouds,-29.9533,-71.3436,Punto de encuentro
398,Wanaka,NZ,58.19,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
408,Barcelos,PT,53.85,few clouds,41.5388,-8.6151,Hotel Do Terço
414,Lima,PE,65.89,few clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
419,Rio Grande,BR,69.76,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
421,Cadillac,US,61.14,overcast clouds,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
422,Diplo,PK,69.17,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
423,Hun,LY,49.44,few clouds,29.1268,15.9477,Alrwasi Hotel
424,Waipawa,NZ,59.94,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
429,Scarborough,GB,47.91,clear sky,54.2797,-0.4044,The Grand Hotel Scarborough
433,Tecpan,GT,53.46,few clouds,14.7623,-90.9947,San Ricardo Restaurante y Hotel
434,Mons,BE,48.38,mist,50.4538,3.9516,ibis Mons Centre Gare
438,Letterkenny,IE,46.09,overcast clouds,54.95,-7.7333,Mount Errigal Hotel
441,Grindavik,IS,45.07,moderate rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
444,Sadiqabad,PK,62.8,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
448,Faya,SA,51.91,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
450,Horsham,GB,52.02,broken clouds,51.064,-0.3272,Springfields Hotel
455,Qingdao,CN,49.6,haze,36.0986,120.3719,Le Meridien Qingdao
461,Tarata,BO,56.62,broken clouds,-17.6167,-66.0167,Hacienda castillo
463,Stratford-Upon-Avon,GB,52.41,clear sky,52.1917,-1.7073,DoubleTree by Hilton Stratford-upon-Avon
469,Uelzen,DE,47.07,scattered clouds,52.9667,10.5667,Akzent Hotel Deutsche Eiche - K. H. Meyer KG
470,South Yuba City,US,47.64,heavy intensity rain,39.1166,-121.6391,Bonanza Inn & Suites Yuba City
472,Mercedes,AR,63.84,clear sky,-34.6515,-59.4307,Posada del Inti Centro
475,Shiyan,CN,55.29,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
476,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
477,Chimbote,PE,65.95,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
478,Gelemso,ET,63.23,few clouds,8.8167,40.5167,Kerod Hotel
483,Dali,CN,60.17,clear sky,25.7,100.1833,Dali Travelling With Hostel
494,Syracuse,IT,52.61,overcast clouds,37.0881,15.2792,Hotel Posta
496,Aswan,EG,51.1,clear sky,24.0934,32.907,Nuba Nile
497,Lata,PT,51.82,scattered clouds,40.1629,-8.3327,Casa Maquia
498,Barela,IN,68.81,haze,23.1,80.05,Jain uttam Mistan bhandar
499,Kasongo,CD,68.97,light rain,-4.45,26.6667,Guest Hôtel
507,Tocopilla,CL,66.52,scattered clouds,-22.092,-70.1979,Hotel Galvarino
510,Los Llanos De Aridane,ES,56.95,clear sky,28.6585,-17.9182,Valle Aridane
514,Tarime,TZ,65.95,overcast clouds,-1.35,34.3667,Kifa Best Point Hotel
515,Bobcaygeon,CA,46.15,overcast clouds,44.5462,-78.542,The Bobcaygeon Inn And The Royal Moose Grill & Waterfront Patio
519,Whitianga,NZ,69.03,few clouds,-36.8333,175.7,Beachside Resort Whitianga
522,Te Anau,NZ,62.51,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
523,Arica,CL,66.43,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
528,Trelew,AR,65.44,few clouds,-43.249,-65.3051,Hotel Touring Club
531,Shelburne,CA,50.45,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
532,Rincon,US,59.86,clear sky,32.296,-81.2354,Days Inn Rincon
533,Marmaris,TR,55.38,scattered clouds,36.855,28.2742,Hawaii Hotel
537,Rio Gallegos,AR,55.45,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
541,Shimoda,JP,62.71,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
543,Saint Anthony,US,54.55,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
547,Malibu,US,53.19,overcast clouds,34.005,-118.8101,Malibu Country Inn
564,Forest,US,46.08,clear sky,37.3638,-79.2897,Days inn
569,Chicama,PE,64.94,broken clouds,-7.8447,-79.1469,Balihai Bungalows
571,Aire-Sur-La-Lys,FR,49.82,overcast clouds,50.6387,2.3988,Château de Moulin le Comte
572,Rocha,UY,61.2,few clouds,-34.4833,-54.3333,Hotel Arrarte
577,Steinbach,DE,45.03,overcast clouds,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
586,Svetlyy,RU,46.45,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
587,Bhadasar,IN,61.34,clear sky,28.2833,74.3167,OMPRAKASH JAKHAR
591,Hirado,JP,54.75,light rain,33.3597,129.5531,Samson Hotel
592,Menongue,AO,64.17,light rain,-14.6585,17.691,Ritz Lauca
596,Uttarkashi,IN,57.76,clear sky,30.7333,78.45,Anand Ganga
597,Saint-Raphael,HT,66.06,clear sky,19.4333,-72.2,Adouly Hôtel
599,Nouadhibou,MR,62.24,clear sky,20.931,-17.0347,El Medina
601,Tignere,CM,62.33,overcast clouds,7.3667,12.65,SADECK
605,Biu,NG,60.69,scattered clouds,10.6129,12.1946,Emir's Palace
606,Teguise,ES,62.82,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
608,Awbari,LY,46.29,scattered clouds,26.5921,12.7805,فندق أوباري
612,Camana,PE,68.36,overcast clouds,-16.6228,-72.7111,Hostal Morales
618,Sakakah,SA,53.17,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
622,Griffith,US,64.33,overcast clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
627,Praia Da Vitoria,PT,62.76,broken clouds,38.7333,-27.0667,Hotel Branco I
628,Half Moon Bay,US,52.92,fog,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
629,Camacha,PT,59.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
631,Waynesville,US,46.45,broken clouds,35.4887,-82.9887,Best Western Smoky Mountain Inn
632,Nagua,DO,69.44,scattered clouds,19.3832,-69.8474,Hotel Cambri
638,Huaiyin,CN,54.23,overcast clouds,33.5886,119.0192,锦江之星
651,Quzhou,CN,63.59,overcast clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
652,Florence,IT,50.09,clear sky,43.7667,11.25,Italiana Hotels Florence
653,San Carlos De Bariloche,AR,47.95,clear sky,-41.1456,-71.3082,Hotel Patagonia
655,Bhag,PK,58.19,clear sky,29.0415,67.8239,Bukhari hotl
657,Coihaique,CL,48.15,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
660,Jining,CN,53.01,overcast clouds,35.405,116.5814,Yunhe Star Hotel
663,Ulladulla,AU,69.76,overcast clouds,-35.35,150.4667,Sandpiper Motel
664,Moctezuma,MX,55.92,broken clouds,29.8,-109.6667,Hotel Lobohombo
665,Turbat,PK,60.93,few clouds,26.0023,63.044,Mubashar Quarters
667,Avrille,FR,45.14,clear sky,47.5,-0.5833,ibis Angers Centre Château
668,Wilmington,US,54.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
675,Fukue,JP,57.56,shower rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
676,Stavern,NO,46.08,clear sky,59.0,10.0333,Hotel Wassilioff
677,Mogok,MM,69.13,overcast clouds,22.9167,96.5,MOGOK HILL HOTEL
681,Mega,ET,63.66,broken clouds,4.05,38.3,Amanuel Guest House
682,Floro,NO,46.36,few clouds,61.5996,5.0328,Kinn Hotell Florø
693,Vincennes,FR,46.96,overcast clouds,48.85,2.4333,Aparthotel Adagio Paris Vincennes
697,Jinan,CN,45.84,overcast clouds,36.6683,116.9972,Shandong Grand Tower Hotel
698,Nueva Loja,EC,69.93,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
